"Time (UTCG)","Power (W)","Solar Intensity"
1 Jan 2024 00:00:00.000,0.745,1.000000
1 Jan 2024 00:05:00.000,0.000,0.000000
1 Jan 2024 00:10:00.000,0.000,0.000000
1 Jan 2024 00:15:00.000,0.000,0.000000
1 Jan 2024 00:20:00.000,0.000,0.000000
1 Jan 2024 00:25:00.000,0.000,0.000000
1 Jan 2024 00:30:00.000,0.000,0.000000
1 Jan 2024 00:35:00.000,0.000,0.000000
1 Jan 2024 00:40:00.000,4.114,1.000000
1 Jan 2024 00:45:00.000,4.078,1.000000
1 Jan 2024 00:50:00.000,3.654,1.000000
1 Jan 2024 00:55:00.000,2.900,1.000000
1 Jan 2024 01:00:00.000,1.869,1.000000
1 Jan 2024 01:05:00.000,0.751,1.000000
1 Jan 2024 01:10:00.000,2.179,1.000000
1 Jan 2024 01:15:00.000,3.539,1.000000
1 Jan 2024 01:20:00.000,4.579,1.000000
1 Jan 2024 01:25:00.000,5.183,1.000000
1 Jan 2024 01:30:00.000,5.277,1.000000
1 Jan 2024 01:35:00.000,0.000,0.000000
1 Jan 2024 01:40:00.000,0.000,0.000000
1 Jan 2024 01:45:00.000,0.000,0.000000
1 Jan 2024 01:50:00.000,0.000,0.000000
1 Jan 2024 01:55:00.000,0.000,0.000000
1 Jan 2024 02:00:00.000,0.000,0.000000
1 Jan 2024 02:05:00.000,0.000,0.000000
1 Jan 2024 02:10:00.000,3.987,1.000000
1 Jan 2024 02:15:00.000,4.164,1.000000
1 Jan 2024 02:20:00.000,3.949,1.000000
1 Jan 2024 02:25:00.000,3.368,1.000000
1 Jan 2024 02:30:00.000,2.482,1.000000
1 Jan 2024 02:35:00.000,1.404,1.000000
1 Jan 2024 02:40:00.000,1.370,1.000000
1 Jan 2024 02:45:00.000,2.846,1.000000
1 Jan 2024 02:50:00.000,4.076,1.000000
1 Jan 2024 02:55:00.000,4.924,1.000000
1 Jan 2024 03:00:00.000,5.307,1.000000
1 Jan 2024 03:05:00.000,5.163,1.000000
1 Jan 2024 03:10:00.000,0.000,0.000000
1 Jan 2024 03:15:00.000,0.000,0.000000
1 Jan 2024 03:20:00.000,0.000,0.000000
1 Jan 2024 03:25:00.000,0.000,0.000000
1 Jan 2024 03:30:00.000,0.000,0.000000
1 Jan 2024 03:35:00.000,0.000,0.000000
1 Jan 2024 03:40:00.000,0.000,0.000000
1 Jan 2024 03:45:00.000,4.131,1.000000
1 Jan 2024 03:50:00.000,4.132,1.000000
1 Jan 2024 03:55:00.000,3.745,1.000000
1 Jan 2024 04:00:00.000,3.012,1.000000
1 Jan 2024 04:05:00.000,2.025,1.000000
1 Jan 2024 04:10:00.000,0.896,1.000000
1 Jan 2024 04:15:00.000,2.083,1.000000
1 Jan 2024 04:20:00.000,3.462,1.000000
1 Jan 2024 04:25:00.000,4.535,1.000000
1 Jan 2024 04:30:00.000,5.178,1.000000
1 Jan 2024 04:35:00.000,5.321,1.000000
1 Jan 2024 04:40:00.000,0.000,0.000000
1 Jan 2024 04:45:00.000,0.000,0.000000
1 Jan 2024 04:50:00.000,0.000,0.000000
1 Jan 2024 04:55:00.000,0.000,0.000000
1 Jan 2024 05:00:00.000,0.000,0.000000
1 Jan 2024 05:05:00.000,0.000,0.000000
1 Jan 2024 05:10:00.000,0.000,0.000000
1 Jan 2024 05:15:00.000,3.401,0.853256
1 Jan 2024 05:20:00.000,4.196,1.000000
1 Jan 2024 05:25:00.000,4.021,1.000000
1 Jan 2024 05:30:00.000,3.469,1.000000
1 Jan 2024 05:35:00.000,2.611,1.000000
1 Jan 2024 05:40:00.000,1.542,1.000000
1 Jan 2024 05:45:00.000,1.274,1.000000
1 Jan 2024 05:50:00.000,2.757,1.000000
1 Jan 2024 05:55:00.000,4.014,1.000000
1 Jan 2024 06:00:00.000,4.906,1.000000
1 Jan 2024 06:05:00.000,5.325,1.000000
1 Jan 2024 06:10:00.000,5.230,1.000000
1 Jan 2024 06:15:00.000,0.000,0.000000
1 Jan 2024 06:20:00.000,0.000,0.000000
1 Jan 2024 06:25:00.000,0.000,0.000000
1 Jan 2024 06:30:00.000,0.000,0.000000
1 Jan 2024 06:35:00.000,0.000,0.000000
1 Jan 2024 06:40:00.000,0.000,0.000000
1 Jan 2024 06:45:00.000,0.000,0.000000
1 Jan 2024 06:50:00.000,4.146,1.000000
1 Jan 2024 06:55:00.000,4.183,1.000000
1 Jan 2024 07:00:00.000,3.829,1.000000
1 Jan 2024 07:05:00.000,3.127,1.000000
1 Jan 2024 07:10:00.000,2.162,1.000000
1 Jan 2024 07:15:00.000,1.040,1.000000
1 Jan 2024 07:20:00.000,1.982,1.000000
1 Jan 2024 07:25:00.000,3.381,1.000000
1 Jan 2024 07:30:00.000,4.486,1.000000
1 Jan 2024 07:35:00.000,5.173,1.000000
1 Jan 2024 07:40:00.000,5.361,1.000000
1 Jan 2024 07:45:00.000,0.000,0.000000
1 Jan 2024 07:50:00.000,0.000,0.000000
1 Jan 2024 07:55:00.000,0.000,0.000000
1 Jan 2024 08:00:00.000,0.000,0.000000
1 Jan 2024 08:05:00.000,0.000,0.000000
1 Jan 2024 08:10:00.000,0.000,0.000000
1 Jan 2024 08:15:00.000,0.000,0.000000
1 Jan 2024 08:20:00.000,0.000,0.000000
1 Jan 2024 08:25:00.000,4.227,1.000000
1 Jan 2024 08:30:00.000,4.085,1.000000
1 Jan 2024 08:35:00.000,3.565,1.000000
1 Jan 2024 08:40:00.000,2.736,1.000000
1 Jan 2024 08:45:00.000,1.681,1.000000
1 Jan 2024 08:50:00.000,1.172,1.000000
1 Jan 2024 08:55:00.000,2.659,1.000000
1 Jan 2024 09:00:00.000,3.946,1.000000
1 Jan 2024 09:05:00.000,4.876,1.000000
1 Jan 2024 09:10:00.000,5.339,1.000000
1 Jan 2024 09:15:00.000,5.292,1.000000
1 Jan 2024 09:20:00.000,0.000,0.000000
1 Jan 2024 09:25:00.000,0.000,0.000000
1 Jan 2024 09:30:00.000,0.000,0.000000
1 Jan 2024 09:35:00.000,0.000,0.000000
1 Jan 2024 09:40:00.000,0.000,0.000000
1 Jan 2024 09:45:00.000,0.000,0.000000
1 Jan 2024 09:50:00.000,0.000,0.000000
1 Jan 2024 09:55:00.000,4.156,1.000000
1 Jan 2024 10:00:00.000,4.227,1.000000
1 Jan 2024 10:05:00.000,3.910,1.000000
1 Jan 2024 10:10:00.000,3.239,1.000000
1 Jan 2024 10:15:00.000,2.293,1.000000
1 Jan 2024 10:20:00.000,1.182,1.000000
1 Jan 2024 10:25:00.000,1.884,1.000000
1 Jan 2024 10:30:00.000,3.299,1.000000
1 Jan 2024 10:35:00.000,4.436,1.000000
1 Jan 2024 10:40:00.000,5.162,1.000000
1 Jan 2024 10:45:00.000,5.399,1.000000
1 Jan 2024 10:50:00.000,4.706,0.920117
1 Jan 2024 10:55:00.000,0.000,0.000000
1 Jan 2024 11:00:00.000,0.000,0.000000
1 Jan 2024 11:05:00.000,0.000,0.000000
1 Jan 2024 11:10:00.000,0.000,0.000000
1 Jan 2024 11:15:00.000,0.000,0.000000
