"Time (UTCG)","Power (W)","Solar Intensity"
1 Jan 2024 00:00:00.000,0.001,1.000000
1 Jan 2024 00:05:00.000,0.000,0.000000
1 Jan 2024 00:10:00.000,0.000,0.000000
1 Jan 2024 00:15:00.000,0.000,0.000000
1 Jan 2024 00:20:00.000,0.000,0.000000
1 Jan 2024 00:25:00.000,0.000,0.000000
1 Jan 2024 00:30:00.000,0.000,0.000000
1 Jan 2024 00:35:00.000,0.000,0.000000
1 Jan 2024 00:40:00.000,0.000,1.000000
1 Jan 2024 00:45:00.000,0.000,1.000000
1 Jan 2024 00:50:00.000,0.000,1.000000
1 Jan 2024 00:55:00.000,2.749,1.000000
1 Jan 2024 01:00:00.000,2.139,1.000000
1 Jan 2024 01:05:00.000,0.000,1.000000
1 Jan 2024 01:10:00.000,0.000,1.000000
1 Jan 2024 01:15:00.000,2.154,1.000000
1 Jan 2024 01:20:00.000,2.644,1.000000
1 Jan 2024 01:25:00.000,0.000,1.000000
1 Jan 2024 01:30:00.000,0.000,1.000000
1 Jan 2024 01:35:00.000,0.000,1.000000
1 Jan 2024 01:40:00.000,0.000,0.000000
1 Jan 2024 01:45:00.000,0.000,0.000000
1 Jan 2024 01:50:00.000,0.000,0.000000
1 Jan 2024 01:55:00.000,0.000,0.000000
1 Jan 2024 02:00:00.000,0.000,0.000000
1 Jan 2024 02:05:00.000,0.000,0.000000
1 Jan 2024 02:10:00.000,0.000,0.000000
1 Jan 2024 02:15:00.000,0.000,1.000000
1 Jan 2024 02:20:00.000,0.000,1.000000
1 Jan 2024 02:25:00.000,3.117,1.000000
1 Jan 2024 02:30:00.000,2.802,1.000000
1 Jan 2024 02:35:00.000,0.000,1.000000
1 Jan 2024 02:40:00.000,0.000,1.000000
1 Jan 2024 02:45:00.000,1.409,1.000000
1 Jan 2024 02:50:00.000,2.218,1.000000
1 Jan 2024 02:55:00.000,0.000,1.000000
1 Jan 2024 03:00:00.000,0.000,1.000000
1 Jan 2024 03:05:00.000,0.000,1.000000
1 Jan 2024 03:10:00.000,0.000,0.000000
1 Jan 2024 03:15:00.000,0.000,0.000000
1 Jan 2024 03:20:00.000,0.000,0.000000
1 Jan 2024 03:25:00.000,0.000,0.000000
1 Jan 2024 03:30:00.000,0.000,0.000000
1 Jan 2024 03:35:00.000,0.000,0.000000
1 Jan 2024 03:40:00.000,0.000,0.000000
1 Jan 2024 03:45:00.000,0.000,1.000000
1 Jan 2024 03:50:00.000,0.000,1.000000
1 Jan 2024 03:55:00.000,3.389,1.000000
1 Jan 2024 04:00:00.000,3.362,1.000000
1 Jan 2024 04:05:00.000,0.224,1.000000
1 Jan 2024 04:10:00.000,0.000,1.000000
1 Jan 2024 04:15:00.000,0.613,1.000000
1 Jan 2024 04:20:00.000,1.768,1.000000
1 Jan 2024 04:25:00.000,0.000,1.000000
1 Jan 2024 04:30:00.000,0.000,1.000000
1 Jan 2024 04:35:00.000,0.000,1.000000
1 Jan 2024 04:40:00.000,0.723,1.000000
1 Jan 2024 04:45:00.000,0.000,0.000000
1 Jan 2024 04:50:00.000,0.000,0.000000
1 Jan 2024 04:55:00.000,0.000,0.000000
1 Jan 2024 05:00:00.000,0.000,0.000000
1 Jan 2024 05:05:00.000,0.000,0.000000
1 Jan 2024 05:10:00.000,0.000,0.000000
1 Jan 2024 05:15:00.000,0.000,0.000000
1 Jan 2024 05:20:00.000,0.000,1.000000
1 Jan 2024 05:25:00.000,3.543,1.000000
1 Jan 2024 05:30:00.000,3.804,1.000000
1 Jan 2024 05:35:00.000,0.391,1.000000
1 Jan 2024 05:40:00.000,0.000,1.000000
1 Jan 2024 05:45:00.000,0.000,1.000000
1 Jan 2024 05:50:00.000,1.325,1.000000
1 Jan 2024 05:55:00.000,0.000,1.000000
1 Jan 2024 06:00:00.000,0.000,1.000000
1 Jan 2024 06:05:00.000,0.000,1.000000
1 Jan 2024 06:10:00.000,0.766,1.000000
1 Jan 2024 06:15:00.000,0.000,0.000000
1 Jan 2024 06:20:00.000,0.000,0.000000
1 Jan 2024 06:25:00.000,0.000,0.000000
