"Time (UTCG)","Power (W)","Solar Intensity"
1 Jan 2024 00:00:00.000,0.000,0.000000
1 Jan 2024 00:05:00.000,0.000,0.000000
1 Jan 2024 00:10:00.000,0.000,0.000000
1 Jan 2024 00:15:00.000,0.000,0.000000
1 Jan 2024 00:20:00.000,0.000,0.000000
1 Jan 2024 00:25:00.000,0.000,0.000000
1 Jan 2024 00:30:00.000,0.000,0.000000
1 Jan 2024 00:35:00.000,5.380,1.000000
1 Jan 2024 00:40:00.000,5.620,1.000000
1 Jan 2024 00:45:00.000,4.962,1.000000
1 Jan 2024 00:50:00.000,5.182,1.000000
1 Jan 2024 00:55:00.000,5.252,1.000000
1 Jan 2024 01:00:00.000,6.555,1.000000
1 Jan 2024 01:05:00.000,6.064,1.000000
1 Jan 2024 01:10:00.000,3.970,1.000000
1 Jan 2024 01:15:00.000,5.269,1.000000
1 Jan 2024 01:20:00.000,6.337,1.000000
1 Jan 2024 01:25:00.000,5.494,1.000000
1 Jan 2024 01:30:00.000,0.000,0.000000
1 Jan 2024 01:35:00.000,0.000,0.000000
1 Jan 2024 01:40:00.000,0.000,0.000000
1 Jan 2024 01:45:00.000,0.000,0.000000
1 Jan 2024 01:50:00.000,0.000,0.000000
1 Jan 2024 01:55:00.000,0.000,0.000000
1 Jan 2024 02:00:00.000,0.000,0.000000
1 Jan 2024 02:05:00.000,0.000,0.000000
1 Jan 2024 02:10:00.000,6.256,1.000000
1 Jan 2024 02:15:00.000,5.293,1.000000
1 Jan 2024 02:20:00.000,5.518,1.000000
1 Jan 2024 02:25:00.000,4.664,1.000000
1 Jan 2024 02:30:00.000,5.352,1.000000
1 Jan 2024 02:35:00.000,5.391,1.000000
1 Jan 2024 02:40:00.000,6.511,1.000000
1 Jan 2024 02:45:00.000,5.883,1.000000
1 Jan 2024 02:50:00.000,3.659,1.000000
1 Jan 2024 02:55:00.000,5.490,1.000000
1 Jan 2024 03:00:00.000,6.433,1.000000
1 Jan 2024 03:05:00.000,0.000,0.000000
1 Jan 2024 03:10:00.000,0.000,0.000000
1 Jan 2024 03:15:00.000,0.000,0.000000
1 Jan 2024 03:20:00.000,0.000,0.000000
1 Jan 2024 03:25:00.000,0.000,0.000000
1 Jan 2024 03:30:00.000,0.000,0.000000
1 Jan 2024 03:35:00.000,0.000,0.000000
1 Jan 2024 03:40:00.000,3.507,1.000000
1 Jan 2024 03:45:00.000,5.736,1.000000
1 Jan 2024 03:50:00.000,6.345,1.000000
1 Jan 2024 03:55:00.000,5.179,1.000000
1 Jan 2024 04:00:00.000,5.387,1.000000
1 Jan 2024 04:05:00.000,4.815,1.000000
1 Jan 2024 04:10:00.000,5.494,1.000000
1 Jan 2024 04:15:00.000,5.503,1.000000
1 Jan 2024 04:20:00.000,6.433,1.000000
1 Jan 2024 04:25:00.000,5.673,1.000000
1 Jan 2024 04:30:00.000,3.631,1.000000
1 Jan 2024 04:35:00.000,5.683,1.000000
1 Jan 2024 04:40:00.000,0.000,0.000000
1 Jan 2024 04:45:00.000,0.000,0.000000
1 Jan 2024 04:50:00.000,0.000,0.000000
1 Jan 2024 04:55:00.000,0.000,0.000000
1 Jan 2024 05:00:00.000,0.000,0.000000
1 Jan 2024 05:05:00.000,0.000,0.000000
1 Jan 2024 05:10:00.000,0.000,0.000000
1 Jan 2024 05:15:00.000,4.966,1.000000
1 Jan 2024 05:20:00.000,3.825,1.000000
1 Jan 2024 05:25:00.000,5.919,1.000000
1 Jan 2024 05:30:00.000,6.401,1.000000
1 Jan 2024 05:35:00.000,5.037,1.000000
1 Jan 2024 05:40:00.000,5.229,1.000000
1 Jan 2024 05:45:00.000,5.111,1.000000
1 Jan 2024 05:50:00.000,5.608,1.000000
1 Jan 2024 05:55:00.000,5.588,1.000000
1 Jan 2024 06:00:00.000,6.323,1.000000
1 Jan 2024 06:05:00.000,5.432,1.000000
1 Jan 2024 06:10:00.000,0.000,0.000000
1 Jan 2024 06:15:00.000,0.000,0.000000
1 Jan 2024 06:20:00.000,0.000,0.000000
1 Jan 2024 06:25:00.000,0.000,0.000000
1 Jan 2024 06:30:00.000,0.000,0.000000
1 Jan 2024 06:35:00.000,0.000,0.000000
1 Jan 2024 06:40:00.000,0.000,0.000000
1 Jan 2024 06:45:00.000,5.337,1.000000
1 Jan 2024 06:50:00.000,6.267,1.000000
1 Jan 2024 06:55:00.000,4.718,1.000000
1 Jan 2024 07:00:00.000,4.124,1.000000
1 Jan 2024 07:05:00.000,6.072,1.000000
1 Jan 2024 07:10:00.000,6.424,1.000000
1 Jan 2024 07:15:00.000,4.870,1.000000
1 Jan 2024 07:20:00.000,5.043,1.000000
1 Jan 2024 07:25:00.000,5.382,1.000000
1 Jan 2024 07:30:00.000,5.693,1.000000
1 Jan 2024 07:35:00.000,5.644,1.000000
1 Jan 2024 07:40:00.000,6.179,1.000000
1 Jan 2024 07:45:00.000,0.000,0.000000
1 Jan 2024 07:50:00.000,0.000,0.000000
1 Jan 2024 07:55:00.000,0.000,0.000000
1 Jan 2024 08:00:00.000,0.000,0.000000
1 Jan 2024 08:05:00.000,0.000,0.000000
1 Jan 2024 08:10:00.000,0.000,0.000000
1 Jan 2024 08:15:00.000,0.000,0.000000
1 Jan 2024 08:20:00.000,5.766,1.000000
1 Jan 2024 08:25:00.000,5.383,1.000000
1 Jan 2024 08:30:00.000,6.118,1.000000
1 Jan 2024 08:35:00.000,4.443,1.000000
1 Jan 2024 08:40:00.000,4.400,1.000000
1 Jan 2024 08:45:00.000,6.193,1.000000
1 Jan 2024 08:50:00.000,6.413,1.000000
1 Jan 2024 08:55:00.000,4.676,1.000000
1 Jan 2024 09:00:00.000,4.831,1.000000
1 Jan 2024 09:05:00.000,5.627,1.000000
1 Jan 2024 09:10:00.000,5.749,1.000000
1 Jan 2024 09:15:00.000,0.000,0.000000
1 Jan 2024 09:20:00.000,0.000,0.000000
1 Jan 2024 09:25:00.000,0.000,0.000000
1 Jan 2024 09:30:00.000,0.000,0.000000
1 Jan 2024 09:35:00.000,0.000,0.000000
1 Jan 2024 09:40:00.000,0.000,0.000000
1 Jan 2024 09:45:00.000,0.000,0.000000
1 Jan 2024 09:50:00.000,4.838,1.000000
1 Jan 2024 09:55:00.000,5.173,1.000000
1 Jan 2024 10:00:00.000,5.798,1.000000
1 Jan 2024 10:05:00.000,5.400,1.000000
1 Jan 2024 10:10:00.000,5.936,1.000000
1 Jan 2024 10:15:00.000,4.349,1.000000
1 Jan 2024 10:20:00.000,4.654,1.000000
1 Jan 2024 10:25:00.000,6.288,1.000000
1 Jan 2024 10:30:00.000,6.369,1.000000
1 Jan 2024 10:35:00.000,4.460,1.000000
1 Jan 2024 10:40:00.000,4.655,1.000000
1 Jan 2024 10:45:00.000,5.843,1.000000
1 Jan 2024 10:50:00.000,0.000,0.000000
1 Jan 2024 10:55:00.000,0.000,0.000000
1 Jan 2024 11:00:00.000,0.000,0.000000
