"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
2,"Default",0,"AgUtLicense.cpp",175,09/20/2023 20:53:37,"DESKTOP-7EKA85J","lukas","stk_mission_level1 - 14 days remaining until license expires."
2,"Default",0,"AgUtLicense.cpp",175,09/20/2023 20:53:37,"DESKTOP-7EKA85J","lukas","stk_mission_level3 - 14 days remaining until license expires."
2,"Default",0,"AgUtLicense.cpp",175,09/20/2023 20:53:37,"DESKTOP-7EKA85J","lukas","stk_mission_level2 - 14 days remaining until license expires."
2,"Default",0,"AgUtLicense.cpp",175,09/20/2023 20:53:38,"DESKTOP-7EKA85J","lukas","stk_mission_air - 14 days remaining until license expires."
2,"Default",0,"AgUtLicense.cpp",175,09/20/2023 20:53:38,"DESKTOP-7EKA85J","lukas","stk_mission_space - 14 days remaining until license expires."
1,"MsgWnd",0,"",0,09/20/2023 20:53:38,"DESKTOP-7EKA85J","lukas","STK EOIR is licensed, but a valid install was not found.  Install EOIR."
3,"Default",0,"AgStkInitObj.cpp",1836,09/20/2023 20:53:38,"DESKTOP-7EKA85J","lukas","STK Space Environment and Effects Tool is licensed, but a valid install was not found.  Install or Update STK SEET to match the STK version 12.7.1."
2,"Default",0,"AgApRmtMsg.cpp",1362,09/20/2023 20:53:38,"DESKTOP-7EKA85J","lukas","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1542,09/20/2023 20:53:38,"DESKTOP-7EKA85J","lukas","STK/CON: Accepting connection requests"
3,"Default",0,"AgSTKCommRdrComponentManipulator.cpp",888,09/20/2023 20:53:45,"DESKTOP-7EKA85J","lukas","STK TIREM license present; but a valid TIREM install was not found. Install STK/TIREM."
3,"Default",0,"AgSTKCommRdrComponentManipulator.cpp",981,09/20/2023 20:53:45,"DESKTOP-7EKA85J","lukas","STK Communications License for Urban Propagation Extension present; but a valid install was not found.  Install Urban Propagation Extension."
4,"MsgWnd",1,"TilesetJsonParser.cpp",216,09/20/2023 20:56:27,"DESKTOP-7EKA85J","lukas","3DTileset -  failed to retrieve tileset metadata. "
4,"MsgWnd",1,"TilesetJsonParser.cpp",216,09/20/2023 20:56:27,"DESKTOP-7EKA85J","lukas","3DTileset -  failed to retrieve tileset metadata. "
